# バスケ雑学ch 素材カタログ
#
# 列: ID	ラベル	タグ	年	種別	ライセンス	継承	URL	確認	メモ
#
# 継承 = CC の ShareAlike。「あり」は動画側にも継承が及び得るので、収益化方針と要相談。
# 確認 = ファイルページを開いて著作者名・ライセンス・現存を確かめたか。
#        この一覧は検索結果から作っており、原本を開けていないので初期値は「未」。
#        使う前に「済」にしてから公開すること。
#
# 探すとき: python3 catalog.py ロッドマン        タグ・ラベルの部分一致
#           python3 catalog.py --no-sa           継承なしだけ（収益化向き）
#           python3 catalog.py --kind 動画

ID	ラベル	タグ	年	種別	ライセンス	継承	URL	確認	メモ

# ============================================================
# 継承なし（PD / CC0）— 収益化チャンネルではここから選ぶ
# ============================================================
bulls96-wh-1	1996年優勝ブルズ ホワイトハウス訪問	ブルズ,1996,ジョーダン,ロッドマン,ピッペン,ジャクソン,集合,人物	1997	写真	PD-USGov（要確認）	なし	https://commons.wikimedia.org/wiki/File:1996_Chicago_Bulls_with_Bill_Clinton.jpg	未	★優勝メンバーが一枚に収まる唯一級の自由素材。ep02 本命
bulls96-wh-2	同 2 枚目	ブルズ,1996,集合,人物	1997	写真	PD-USGov（要確認）	なし	https://commons.wikimedia.org/wiki/File:1996_Chicago_Bulls_with_Bill_Clinton_2.jpg	未	1 枚目と同じ機会の別カット
bulls96-wh-video	クリントンと1996年優勝ブルズ（映像）	ブルズ,1996,映像,集合	1997	動画	Public Domain Mark 1.0（要確認）	なし	https://commons.wikimedia.org/wiki/File:Pres._Clinton_%26_the_Chicago_Bulls_(1997).webm	未	★自由に使える唯一級の「動く1996年ブルズ」。webm
finals96-g6-report	1996ファイナル 第6戦 公式スコアラーズレポート	ブルズ,1996,ファイナル,記録,文書	1996	文書	要確認	要確認	https://commons.wikimedia.org/wiki/File:Official_Scorer%27s_Report_-_Game_6_of_1996_NBA_Finals.pdf	未	★当日のボックススコア。落ちに強い一次資料
sonics96-playoffs	1996プレーオフ ソニックス戦	ソニックス,1996,プレーオフ,ペイトン,試合	1996	写真	要確認	要確認	https://commons.wikimedia.org/wiki/Category:Gary_Payton	未	カテゴリ内「Opening game of 1996 NBA Playoffs…April 26, 1996」を参照

# ============================================================
# 継承あり（CC BY-SA）— 使うなら動画側のライセンス方針を決めてから
# ============================================================
jordan-1987-dunk	ジョーダン 舌出しダンク	ジョーダン,ブルズ,1980年代,人物,ダンク	1987	写真	CC BY-SA 3.0	あり	https://commons.wikimedia.org/wiki/File:Jordan_by_Lipofsky_16577.jpg	未	撮影 Steve Lipofsky。象徴的な一枚
jordan-1997-ft	ジョーダン フリースローライン	ジョーダン,ブルズ,1990年代,人物	1997	写真	CC BY-SA 3.0	あり	https://commons.wikimedia.org/wiki/File:Jordan_Lipofsky.jpg	未	撮影 Steve Lipofsky。1996年と同世代のユニフォーム
jordan-1997-alt	ジョーダン 1997（別カット）	ジョーダン,ブルズ,1990年代,人物	1997	写真	CC BY-SA 3.0	あり	https://commons.wikimedia.org/wiki/File:Steve_Lipfosky_--_Michael_Jordan_(1997).jpg	未	撮影 Steve Lipofsky
