# 表記	読み	メモ
# エピソード 2（1995-96 シカゴ・ブルズ）の読み辞書。
# 辞書は合成の直前にだけ適用されるので、字幕には元の表記が残る。

# --- チーム ---
シカゴ・ブルズ	シカゴブルズ	中黒は読ませない
ブルズ	ブルズ	
ゴールデンステート・ウォリアーズ	ゴールデンステートウォリアーズ	
ウォリアーズ	ウォリアーズ	
オーランド・マジック	オーランドマジック	
デトロイト・ピストンズ	デトロイトピストンズ	
シアトル・スーパーソニックス	シアトルスーパーソニックス	
ソニックス	ソニックス	スーパーソニックスの略称

# --- 人物 ---
マイケル・ジョーダン	マイケルジョーダン	
ジョーダン	ジョーダン	
ジェームズ・ジョーダン	ジェームズジョーダン	父。息子と同姓なので初出はフルネームで読む
スコッティ・ピッペン	スコッティピッペン	
ピッペン	ピッペン	
デニス・ロッドマン	デニスロッドマン	
ロッドマン	ロッドマン	
ニック・アンダーソン	ニックアンダーソン	
アンダーソン	アンダーソン	
スティーブ・カー	スティーブカー	「カー」を「か」と切らない
トニー・クーコッチ	トニークーコッチ	
ロン・ハーパー	ロンハーパー	
フィル・ジャクソン	フィルジャクソン	
テックス・ウィンター	テックスウィンター	
ゲイリー・ペイトン	ゲイリーペイトン	
ペイトン	ペイトン	
ショーン・ケンプ	ショーンケンプ	

# --- 用語・場所 ---
ユナイテッド・センター	ユナイテッドセンター	ブルズの本拠地
トライアングル・オフェンス	トライアングルオフェンス	
バッドボーイズ	バッドボーイズ	80〜90年代のピストンズの愛称
ファーザーズデー	ファーザーズデー	父の日
シックスマン	シックスマン	
レギュラーシーズン	レギュラーシーズン	
プレーオフ	プレーオフ	
マッチアップ	マッチアップ	
ロッカールーム	ロッカールーム	
チームメイト	チームメイト	
オールスター	オールスター	
スリーポイント	スリーポイント	

# --- 数値（小数は読み方を固定する）---
14.9リバウンド	じゅうよんテンきゅうリバウンド	ロッドマンの平均リバウンド
30.4点	さんじゅうテンよんてん	ジョーダンの平均得点。「点」の重複を避ける

# --- 一般語（読みは自明だが、--strict を通すために登録して未確認から外す）---
ボール	ボール	
シカゴ	シカゴ	
シリーズ	シリーズ	
アメリカ	アメリカ	
ガード	ガード	ポジション名
ベンチ	ベンチ	
ホーム	ホーム	
オーランド	オーランド	オーランド・マジックの略称
